label;latitude;longitude
eringes;47,59;4,47
etalante;47,63;4,77
etevaux;47,32;5,32
etormay;47,6;4,58
faverolles les lucey;47,83;4,87
flacey;47,43;5,14
flavigny sur ozerain;47,51;4,52
le val larrey;47,43;4,32
fleurey sur ouche;47,3;4,86
foncegrive;47,62;5,14
gevrey chambertin;47,22;4,98
gilly les citeaux;47,18;5
grancey le chateau;47,67;5,02
grancey sur ource;48;4,58
gresigny ste reine;47,55;4,5
jouey;47,16;4,44
jours les baigneux;47,63;4,6
juillenay;47,36;4,27
labergement les auxonne;47,16;5,38
lamargelle;47,52;4,84
lantenay;47,34;4,87
laperriere sur saone;47,11;5,35
larrey;47,9;4,42
longeault pluvault;47,21;5,25
lucey;47,85;4,86
magny lambert;47,68;4,59
magny les aubigny;47,11;5,17
maisey le duc;47,85;4,68
marcellois;47,35;4,62
marigny les reullee;47,01;4,96
mavilly mandelot;47,06;4,73
merceuil;46,95;4,85
millery;47,51;4,32
moitron;47,68;4,81
montagny les beaune;46,99;4,85
montigny mornay villeneuve vinge;47,57;5,45
montigny mornay villeneuve vinge;47,57;5,45
montlay en auxois;47,33;4,27
montoillot;47,27;4,66
mont st jean;47,29;4,41
moutiers st jean;47,56;4,23
neuilly crimolois;47,27;5,11
nod sur seine;47,77;4,6
noiron sous gevrey;47,19;5,09
nuits st georges;47,15;4,94
orgeux;47,36;5,15
orret;47,61;4,7
orville;47,56;5,22
pasques;47,38;4,85
poiseul les saulx;47,58;4,98
pontailler sur saone;47,3;5,41
pont et massene;47,47;4,36
posanges;47,42;4,53
pouillenay;47,5;4,46
precy sous thil;47,4;4,32
puligny montrachet;46,95;4,76
remilly en montagne;47,29;4,73
reulle vergy;47,19;4,9
riel les eaux;47,99;4,68
la roche en brenil;47,38;4,17
saffres;47,37;4,58
st germain le rocheux;47,76;4,66
st pierre en vaux;47,06;4,53
st remy;47,65;4,3
ste sabine;47,19;4,62
st seine en bache;47,12;5,38
samerey;47,09;5,36
saulon la rue;47,23;5,05
saulx le duc;47,55;5,02
savigny le sec;47,43;5,04
savilly;47,12;4,28
savolles;47,38;5,28
selongey;47,59;5,2
soirans;47,21;5,3
soussey sur brionne;47,33;4,53
sussey;47,21;4,37
tailly;46,97;4,82
tellecey;47,29;5,3
ternant;47,2;4,83
thoires;47,94;4,68
thury;47,03;4,53
tillenay;47,19;5,35
trouhaut;47,39;4,76
urcy;47,26;4,85
vannaire;47,92;4,57
vanvey;47,84;4,73
velars sur ouche;47,32;4,91
vic sous thil;47,37;4,32
vielverge;47,27;5,45
villars fontaine;47,15;4,9
villars et villenotte;47,51;4,38
villecomte;47,5;5,02
la villeneuve les convers;47,58;4,59
villeneuve sous charigny;47,44;4,4
villey sur tille;47,57;5,11
villotte st seine;47,43;4,71
viserny;47,56;4,28
vosne romanee;47,16;4,96
voulaines les templiers;47,83;4,78
bony;49,99;3,22
arc sur tille;47,34;5,2
bourg et comin;49,4;3,66
argilly;47,07;5,02
bourguignon sous montbavin;49,53;3,54
aubigny en plaine;47,13;5,16
brasles;49,06;3,42
auxonne;47,19;5,41
bray st christophe;49,77;3,14
beaulieu;47,73;4,73
brecy;49,14;3,42
beaumont sur vingeanne;47,46;5,35
breny;49,18;3,35
beaune;47,03;4,84
buire;49,91;4,06
beire le chatel;47,42;5,21
buzancy;49,31;3,35
belleneuve;47,36;5,27
la capelle;49,97;3,91
benoisey;47,58;4,39
caulaincourt;49,86;3,11
beurizot;47,36;4,5
cessieres suzy;49,56;3,48
bevy;47,18;4,84
chavigny;49,42;3,31
beze;47,47;5,28
chermizy ailles;49,46;3,72
billey;47,14;5,42
chevregny;49,47;3,59
billy les chanceaux;47,55;4,73
clamecy;49,43;3,36
blaisy bas;47,37;4,74
blancey;47,3;4,46
source seine;47,49;4,7
bonnencontre;47,09;5,14
boussey;47,36;4,54
bremur et vaurois;47,73;4,61
brognon;47,41;5,17
buncey;47,82;4,58
busseaut;47,74;4,65
busserotte et montenaille;47,66;4,98
la bussiere sur ouche;47,23;4,7
chaignay;47,48;5,06
chamboeuf;47,23;4,9
champrenault;47,4;4,68
chanceaux;47,53;4,74
charny;47,33;4,43
charrey sur seine;47,95;4,54
chateauneuf;47,22;4,65
chaume et courchamp;47,58;5,36
chazeuil;47,56;5,29
chevannay;47,39;4,65
corberon;47,01;5,01
