code_site,code_station,date_obs_elab,resultat_obs_elab,grandeur_hydro_elab,longitude_station,latitude_station,altitude_ref_alti_station,libelle_site,libelle_station,code_cours_eau,libelle_cours_eau,libelle_departement,longitude_site,altitude_site
F7000001,F700000103,2006-04-12,525815.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-04-13,535321.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-04-14,505546.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-04-15,471302.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-04-16,453503.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-04-17,430479.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-04-18,412384.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-04-19,357244.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-04-20,357886.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-04-21,337266.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-04-22,328733.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-04-23,323465.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
